Mebol, 101 FW, 101 TC, 101 TW, 102 FC, 102 FW, 102 TC, 102 TW, 103 FC, 103 FW, 103 TC, 103 TW, 104 FC, 104 FW, 104 TC, 104 TW, 105 FC, 105 FW, 105 TC, 105 TW, 110 FC, 110 FW, 110 TC, 110 TW, 111 FC, 111 FW, 111 TC, 111 TW, 112 FC, 112 FW, 112 TC, 112 TW, 113 FC, 113 FW, 113 TC, 113 TW, 114 FC, 114 FW, 114 TC, 114 TW, 124 FC, 124 FW, 124 NB FC, 124 TC, 124 TW, 125 FC, 125 FW, 125 TC, 125 TW, 126 FC, 126 FW, 126 TC, 126 TW, 127 FC, 127 FW, 127 TC, 127 TW, 128 FC, 128 FW, 128 TC, 128 TW, 201 FC, 201 FW, 201 TC, 201 TW, 202 FC, 202 FW, 202 TC, 202 TW, 203 FC, 203 FW, 203 TC, 203 TW, 204 FC, 204 FW, 204 TC, 204 TW, 205 FC, 205 FW, 205 TC, 205 TW, 210 FC, 210 FW, 210 TC, 210 TW, 211 FC, 211 FW, 211 TC, 211 TW, 212 FC, 212 FW, 212 TC, 212 TW, 213 FC, 213 FW, 213 TC, 213 TW, 214 FC, 214 FW, 214 NB FW, 214 TC, 214 TW, 215 FC, 215 FW, 215 TC, 215 TW, 216 FC, 216 FW, 216 TC, 216 TW, 217 FC, 217 FW, 217 TC, 217 TW, 218 FC, 218 FW, 218 TC, 218 TW, 219 FC, 219 FW, 219 TC, 219 TW, 226 FC, 226 FW, 226 TC, 226 TW, 227 FC, 227 FW, 227 TC, 227 TW, 228 FC, 228 FW, 228 TC, 228 TW, 229 FC, 229 FW, 229 TC, 229 TW, 230 FC, 230 FW, 230 TC, 230 TW,101 FC
PC-ae 37:4 [M+H]+_163,38015,NAN,30223,8623,NAN,NAN,21600,NAN,23517,NAN,17061,9951,30918,15344,29182,NAN,36586,NAN,37030,NAN,31177,20032,48617,14071,25960,8583,20880,9629,NAN,10774,24109,NAN,48169,15438,27822,11728,34150,23202,37965,8439,26475,10170,NAN,26622,NAN,29366,NAN,30953,7580,17198,NAN,21713,NAN,23513,11314,20233,10746,19955,NAN,22187,NAN,64745,14001,27651,20154,43426,14927,31470,8843,NAN,NAN,28811,11491,40916,NAN,37774,12485,43941,10866,38564,19318,29264,NAN,26452,NAN,25428,7539,26131,NAN,27662,6630,27628,9610,32080,11663,39936,19618,37722,19352,10214,29076,NAN,42525,NAN,35553,12963,31232,NAN,34227,NAN,28092,NAN,26360,12068,33563,8456,36518,19732,35550,11015,29379,8755,24739,NAN,25719,11588,27120,7606,19261,7243,31027,NAN,32956,NAN,21648,NAN,16655,12459,31756,10550,30836,15160
PC-ae 37:4 [M+H]+_4259,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1504,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1554,NAN,1384,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1054,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2097,NAN,1986,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2012,NAN,NAN,NAN,1987,NAN,NAN,1915,NAN,NAN,NAN,2027,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2166,NAN,1989,NAN,NAN,NAN,1997,NAN,NAN,NAN,1991,NAN,NAN,NAN,1063,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2017,NAN
PC-ae 38:3 [M+H]+_3422,1247,NAN,NAN,NAN,1018,NAN,1136,NAN,NAN,NAN,NAN,NAN,1182,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1707,NAN,3634,NAN,1156,NAN,NAN,NAN,2268,NAN,1707,NAN,1076,NAN,NAN,NAN,1168,NAN,1075,NAN,1524,NAN,NAN,1301,NAN,1160,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1090,NAN,1269,NAN,1744,NAN,NAN,NAN,1307,NAN,NAN,NAN,1161,NAN,NAN,NAN,1404,NAN,1064,NAN,1508,NAN,1515,NAN,1152,NAN,NAN,NAN,1109,NAN,1137,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2014,1046,NAN,NAN,NAN,1015,NAN,NAN,NAN,1340,NAN,1273,NAN,NAN,NAN,1121,NAN,NAN,NAN,NAN,NAN,1259,NAN,NAN,NAN,1062,NAN,1122,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1187,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
PC-ae 38:5 [M+H]+_6244,NAN,NAN,2622,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1081,NAN,NAN,NAN,1122,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1129,NAN,NAN,1404,NAN,NAN,NAN,1086,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1218,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1188,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1148,NAN,NAN,NAN,1139,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1221,NAN,NAN,NAN,1332,NAN,NAN,NAN,NAN,NAN,1111,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1435
PC-ae 38:5 [M+H]+_2625,NAN,NAN,NAN,NAN,2264,NAN,1677,NAN,NAN,NAN,1534,NAN,NAN,NAN,1341,NAN,NAN,NAN,1805,NAN,NAN,NAN,NAN,NAN,1993,NAN,1400,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1270,NAN,NAN,NAN,1357,NAN,NAN,1363,NAN,1633,NAN,1489,NAN,1809,NAN,NAN,NAN,1799,NAN,1269,NAN,NAN,NAN,NAN,NAN,3546,1064,2033,1260,2409,NAN,1830,NAN,1574,NAN,1926,NAN,NAN,1001,NAN,NAN,NAN,NAN,NAN,NAN,1952,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1956,NAN,1687,NAN,1786,NAN,NAN,1436,1943,NAN,NAN,NAN,NAN,NAN,1018,1891,NAN,2024,NAN,2555,NAN,NAN,NAN,2058,NAN,NAN,NAN,NAN,NAN,2389,NAN,1525,1000,2030,1013,1955,NAN,2218,NAN,1374,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1009,NAN,NAN,NAN,NAN,NAN
PC-ae 38:5 [M+H]+_1399,2822,1097,NAN,NAN,2290,NAN,1818,NAN,2336,NAN,1491,NAN,2325,1029,NAN,NAN,2699,NAN,2066,NAN,3473,NAN,4492,NAN,NAN,NAN,1412,NAN,2215,1021,1868,NAN,3952,1092,2267,NAN,1467,1053,1337,NAN,2198,NAN,NAN,NAN,NAN,2360,NAN,2117,NAN,2350,NAN,2248,NAN,2040,NAN,NAN,NAN,2088,NAN,1994,NAN,4492,1252,2282,1531,3047,1058,1819,1294,NAN,NAN,1682,1290,3089,1157,2357,1284,3694,NAN,3838,1383,2138,NAN,1792,NAN,1886,NAN,2009,NAN,NAN,NAN,NAN,NAN,1744,NAN,1900,1548,2284,2928,1230,1943,NAN,2674,1289,1842,NAN,2143,NAN,NAN,NAN,2318,NAN,NAN,NAN,2657,NAN,3407,NAN,NAN,NAN,NAN,1143,1680,NAN,NAN,NAN,2437,NAN,1304,NAN,2780,NAN,3519,NAN,1887,NAN,1076,1344,4049,1073,2821,NAN
PC-ae 40:3 [M+H]+_6092,NAN,NAN,1277,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1198,NAN,1614,NAN,NAN,NAN,1295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1366,NAN,1527,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1228,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1473,NAN,NAN,NAN,1363,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1042,NAN,NAN,NAN,NAN,NAN,1311,NAN,NAN,NAN,NAN,NAN,1262,NAN
PC-ae 40:3 [M+H]+_4392,NAN,NAN,NAN,NAN,1545,NAN,NAN,NAN,1119,NAN,NAN,NAN,NAN,NAN,1197,NAN,1822,NAN,1591,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2005,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1010,NAN,1260,NAN,NAN,NAN,1293,NAN,NAN,NAN,1271,NAN,1090,NAN,1581,NAN,3526,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1257,NAN,NAN,NAN,1829,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1188,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1574,NAN,1583,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1770,NAN,NAN,NAN,NAN,NAN,1591,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1171,NAN,NAN,NAN,NAN,NAN,NAN,NAN
PC-ae 40:3 [M+H]+_1040,3190,1243,1878,1275,2150,NAN,2256,NAN,2582,1358,3072,NAN,2853,NAN,2567,NAN,1961,NAN,2815,1468,3509,1888,2849,2251,2119,1064,1966,3135,2847,2230,3630,1078,1745,1282,1691,1066,2352,1775,2598,1655,3495,1521,NAN,2312,1143,2329,NAN,1609,1641,2978,NAN,2200,NAN,1936,NAN,1664,1016,2016,NAN,3041,NAN,1908,1164,2506,1644,2176,NAN,1514,1320,3057,NAN,2989,1180,2780,NAN,2650,2073,3696,1170,4129,2669,3599,NAN,3315,1690,4360,1146,3721,NAN,2489,NAN,3038,1278,3110,1015,1922,2694,3084,2669,NAN,2590,1490,2127,NAN,2150,2318,3647,1029,3627,1305,2731,NAN,2654,1730,2383,NAN,2401,2223,3785,NAN,2583,1531,3034,1003,2929,2084,3588,NAN,4138,NAN,2427,NAN,2041,NAN,2206,NAN,1896,NAN,1534,NAN,1936,1402
PC-ae 40:4 [M+H]+_1987,2213,NAN,1389,NAN,1899,NAN,1413,NAN,1688,NAN,1390,NAN,1770,NAN,1107,NAN,1337,NAN,1400,NAN,2911,1571,3094,NAN,1900,NAN,1293,NAN,1789,NAN,1366,NAN,1508,NAN,NAN,NAN,1799,NAN,1553,NAN,1603,NAN,NAN,1464,NAN,1596,NAN,1077,NAN,1590,NAN,1559,NAN,1253,NAN,1000,NAN,1214,NAN,1502,NAN,1172,NAN,1443,NAN,1937,NAN,1117,NAN,2400,NAN,1921,NAN,1848,NAN,1489,NAN,3051,NAN,3057,NAN,2110,NAN,1164,NAN,1689,NAN,1806,NAN,1644,NAN,1111,NAN,1386,NAN,1590,NAN,1699,1975,NAN,1146,NAN,1551,NAN,NAN,NAN,3132,NAN,3167,NAN,1669,NAN,1670,NAN,1477,NAN,1821,NAN,2569,NAN,1211,NAN,2145,NAN,2419,NAN,2664,NAN,1307,NAN,1722,NAN,1469,NAN,1527,NAN,NAN,NAN,NAN,NAN,1028,NAN
PC-ae 40:4 [M+H]+_5336,NAN,NAN,1079,NAN,1594,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1559,NAN,1282,NAN,NAN,1347,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1014,NAN,NAN,NAN,NAN,NAN,1048,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1638,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1369,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1265,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1536,NAN,NAN,NAN,NAN,NAN,NAN,1185,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1206,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1595,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
PC-ae 42:6 [M+H]+_3386,NAN,NAN,NAN,1140,NAN,1893,NAN,1804,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1801,NAN,1800,NAN,2321,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1570,NAN,1787,NAN,1132,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1864,NAN,NAN,NAN,1641,NAN,1087,NAN,1595,NAN,NAN,NAN,1882,NAN,1300,NAN,1947,NAN,1549,NAN,2030,NAN,1793,NAN,1664,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1764,NAN,NAN,NAN,1589,NAN,NAN,NAN,1873,NAN,NAN,NAN,1880,NAN,NAN,NAN,1639,NAN,1522,NAN,1827,NAN,NAN,NAN,1631,NAN,1897,NAN,1750,NAN,NAN,NAN,1706,NAN,NAN,NAN,NAN,NAN,NAN
PC-ae 44:4 [M+H]+_59,NAN,105971,NAN,113019,NAN,127906,38992,133346,17399,118597,67193,125388,NAN,106245,63879,138012,20479,129946,36430,116435,NAN,89568,NAN,110055,NAN,125533,45802,109399,NAN,124497,41044,139539,25930,125847,98999,129645,38639,107550,49725,115215,17610,109523,124761,22170,105207,NAN,110958,NAN,123464,NAN,122485,25828,110696,NAN,91930,28826,115449,31658,105523,21075,128031,30666,89899,41506,110306,17322,135606,71956,112155,22088,116199,28449,135642,19467,117707,35842,125501,20181,144202,30652,79082,18981,135275,46099,140312,51974,137819,48669,133146,17996,138776,36597,133120,50254,120496,38624,91926,20568,NAN,120152,51875,134912,36631,121045,66077,120881,NAN,127632,18981,129424,NAN,137603,29138,99755,29108,108166,16924,115151,18282,131638,70958,114978,NAN,101817,20073,98939,NAN,100727,48213,116267,18382,112960,NAN,125641,25070,113912,79283,115007,33761,128988,40340,102192
PC-ae 44:4 [M+H]+_599,16656,4602,42288,NAN,14453,3679,1208,NAN,NAN,NAN,NAN,NAN,13701,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14593,NAN,15945,7209,15272,4696,NAN,4327,16718,4104,NAN,NAN,NAN,4872,3136,7033,1131,5844,1639,3836,NAN,3775,NAN,NAN,NAN,36682,NAN,31103,NAN,19771,NAN,NAN,3462,14622,NAN,NAN,NAN,NAN,NAN,NAN,5659,NAN,3683,NAN,6197,NAN,6437,2391,4425,NAN,3821,NAN,6694,NAN,4219,NAN,NAN,NAN,6357,NAN,2813,NAN,6783,NAN,6396,NAN,7352,NAN,7960,NAN,8617,NAN,NAN,NAN,5248,1080,4331,NAN,11933,6583,NAN,NAN,NAN,5579,3031,7895,16600,10691,1108,10943,15826,9150,1019,6117,1201,8340,NAN,9337,NAN,12325,3918,16985,15566,10409,1218,8527,15561,NAN,1330,3228,NAN,3790,15911,NAN,NAN,NAN,NAN,5528,NAN,5118,NAN,3477
PE 33:1 [M+H]+_234,NAN,NAN,NAN,21845,NAN,22170,NAN,NAN,NAN,24536,NAN,19842,NAN,16960,21512,21482,NAN,20553,NAN,34643,NAN,43833,51450,25115,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22708,NAN,21194,19835,NAN,NAN,35318,32888,NAN,NAN,18060,24724,NAN,NAN,NAN,NAN,NAN,23228,NAN,21811,NAN,34420,NAN,31211,29073,28274,NAN,24117,NAN,22084,NAN,NAN,NAN,NAN,NAN,19763,NAN,21444,NAN,NAN,NAN,33513,38932,28399,NAN,23153,NAN,21092,23340,20806,NAN,17814,20766,NAN,39481,31402,NAN,NAN,NAN,23120,26223,23967,NAN,26045,NAN,NAN,NAN,12170,NAN,NAN,22996,NAN,20186,24761,18869,24380,18465,NAN,NAN,NAN,NAN,NAN,28602,NAN,26132,NAN,23929,NAN,20276,NAN,19870,NAN,18920,NAN,16106,18068,12932,15234,NAN,NAN,NAN,NAN,22124,NAN,20549,23306,19252,24502,20070,NAN,24426
PE 33:1 [M+H]+_3057,NAN,NAN,NAN,NAN,1582,NAN,NAN,1247,NAN,1495,NAN,NAN,NAN,NAN,1326,NAN,NAN,NAN,NAN,1662,NAN,1773,2769,NAN,NAN,NAN,NAN,1596,NAN,1623,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1287,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1454,NAN,NAN,NAN,1656,1579,NAN,NAN,1767,NAN,NAN,NAN,NAN,1197,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1497,NAN,NAN,1648,2058,1364,2111,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1903,2374,NAN,1556,NAN,NAN,NAN,1551,NAN,NAN,NAN,NAN,NAN,2365,NAN,NAN,NAN,2038,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1849,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1197,NAN,1768,NAN
PE 33:1 [M+H]+_3619,NAN,1111,1365,1264,NAN,NAN,NAN,1516,NAN,NAN,NAN,1182,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1002,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1175,1216,NAN,NAN,NAN,NAN,NAN,1067,NAN,NAN,1760,NAN,1451,2082,NAN,1129,NAN,NAN,1474,NAN,1289,NAN,NAN,NAN,1116,1586,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1299,NAN,1234,NAN,NAN,NAN,NAN,NAN,NAN,1194,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1117,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1169,NAN,NAN,1212,1222,NAN,NAN,NAN,1899,NAN,1517,NAN,NAN,NAN,1251,NAN,1284,NAN,NAN,NAN,1101,NAN,NAN,NAN,1159,NAN,NAN,NAN,1196,NAN,1020,NAN,1153,NAN,NAN,1090,1169,1702,1064,NAN,1353
PE 34:1 [M+H]+_292,11015,7883,8160,10238,9566,9183,8624,13476,11262,11485,8486,7203,8781,5434,7268,7783,9482,7686,7923,12840,22687,15145,17436,9545,10517,7916,8009,13293,15522,12921,12708,7426,10500,7617,8222,8273,7996,7107,7440,8524,9248,7636,7393,9468,12858,12962,10807,12909,10590,6678,10382,8059,10972,10851,10389,10797,11062,11278,8357,10301,7580,11091,7288,6553,7000,NAN,5901,6006,6816,10074,4774,7663,10637,11578,8741,9791,8069,NAN,8090,7449,8092,9886,7664,6511,13540,10484,14249,10802,8729,8726,8078,6847,8242,6916,8145,7766,14875,14784,NAN,14876,12347,8582,8867,7128,6456,8682,10343,7526,9201,14362,11872,12804,10328,12393,11075,10370,11908,7288,9099,5760,5798,8758,9496,6556,9321,5454,NAN,4962,NAN,8683,10915,10369,10390,8556,8963,6956,8144,7785,8370,7567,8074,9454
PE 35:1 [M+H]+_2541,NAN,NAN,NAN,1986,2408,NAN,NAN,NAN,NAN,2271,NAN,NAN,NAN,NAN,NAN,1718,2765,NAN,2822,NAN,NAN,NAN,3508,NAN,NAN,NAN,2643,NAN,NAN,NAN,NAN,NAN,2578,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2067,NAN,NAN,NAN,2261,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2273,NAN,2226,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2170,2679,2779,NAN,2725,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3438,NAN,2913,3680,NAN,NAN,2142,2782,NAN,2660,NAN,2606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3173,2729,NAN,NAN,NAN,NAN,NAN,2555,2226,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1935,NAN,2905,2089
PE 35:1 [M+H]+_233,NAN,10359,10985,10752,11451,10299,11008,12462,12189,11814,12597,11035,13078,10058,11820,10251,13503,10531,12956,14185,17996,14407,16866,12555,13595,11449,13606,16773,15534,16254,15690,11722,11952,12287,11805,13405,13280,12408,13281,11145,11803,10162,10555,12195,12342,12757,11747,13393,9474,8900,9666,10576,11432,14473,11175,11775,10766,11882,9962,12603,11055,13607,11477,11915,11059,11790,10927,11067,10760,13235,9612,12609,11829,13782,11289,13748,11006,11316,10067,10759,12261,12551,10890,11948,13525,13957,13297,14308,11742,13322,11665,12278,11389,11748,11174,12944,15269,15189,9038,15887,15372,12137,11551,10937,11394,11583,12839,10562,12674,13724,13528,12668,13195,12564,13420,11180,13665,11932,12650,11852,11898,11260,12493,10200,13195,9747,11101,8645,9198,10531,13044,12074,12967,10815,12890,10003,10243,10699,11747,10742,12770,10450
PE 35:1 [M+H]+_5,257600,222695,249668,239584,270462,233636,267832,252473,273072,248825,260368,236427,282029,231098,253141,234720,287565,231130,285096,266857,319199,282522,316825,259525,284334,249378,278114,408481,306857,283271,303973,247301,268661,249565,250602,264224,282604,260343,277660,244694,427637,232811,239901,416695,258259,282163,251795,461923,234624,250755,234486,269522,253022,308537,251322,431216,242403,280367,228660,281193,238652,309820,242727,253602,242056,263795,232874,246574,238697,281370,222411,278201,250978,407729,239901,279812,237740,260145,229155,250120,258619,273843,241855,261954,259108,280610,253787,280994,245200,276562,241643,269636,239277,255211,236341,269518,274215,299474,233173,272770,414517,238356,255735,229781,250534,234043,270513,224440,268893,260115,281728,251962,275827,249813,279975,238384,287715,247493,269854,235260,251387,235872,268681,225566,270708,228211,257933,211092,239811,237173,279005,248268,276602,231743,273443,226983,242201,236633,275871,230656,271690,236183
PE 35:1 [M+H]+_3847,NAN,1421,NAN,2097,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2052,1545,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2217,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2167,NAN,NAN,NAN,NAN,NAN,1675,1412,1999,NAN,NAN,NAN,NAN,NAN,1635,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2183,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2299,1798,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2321,NAN,NAN,2577,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2462,1638,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1619,NAN,1655,2138,NAN,NAN,NAN
PE 35:1 [M+H]+_2561,2703,NAN,NAN,NAN,3350,NAN,NAN,NAN,3270,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2912,NAN,NAN,NAN,3553,NAN,NAN,NAN,3328,NAN,NAN,NAN,NAN,NAN,3351,NAN,NAN,NAN,NAN,3316,NAN,NAN,NAN,2395,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3377,NAN,NAN,NAN,3094,NAN,NAN,NAN,NAN,NAN,2391,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3475,NAN,NAN,NAN,3382,NAN,NAN,NAN,3413,NAN,NAN,NAN,NAN,NAN,3375,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3347,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2724,NAN,2831,2754,NAN,NAN,3201,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2789,NAN
PE 35:1 [M+H]+_3124,NAN,NAN,NAN,3936,3382,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3440,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3841,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4069,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3470,3364,3361,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3475,NAN,NAN,NAN,3356,2349,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3380,3449,NAN,3476,NAN,NAN,NAN
